"dispatch_date","crime_group","frequency"
"2024-04-14","Other_Crimes","41"
"2024-04-14","Public_Order_Crimes","2"
"2024-04-14","Drug_and_Vice_Crimes","2"
"2024-04-15","Property_Crimes","281"
"2024-04-15","Violent_Crimes","143"
"2024-04-15","Other_Crimes","71"
"2024-04-15","Drug_and_Vice_Crimes","10"
"2024-04-15","Public_Order_Crimes","5"
"2024-04-16","Property_Crimes","285"
"2024-04-16","Violent_Crimes","129"
"2024-04-16","Other_Crimes","77"
"2024-04-16","Drug_and_Vice_Crimes","15"
"2024-04-16","Public_Order_Crimes","5"
"2024-04-17","Property_Crimes","263"
"2024-04-17","Violent_Crimes","109"
"2024-04-17","Other_Crimes","92"
"2024-04-17","Drug_and_Vice_Crimes","13"
"2024-04-17","Public_Order_Crimes","2"
"2024-04-18","Property_Crimes","231"
"2024-04-18","Violent_Crimes","116"
"2024-04-18","Other_Crimes","77"
"2024-04-18","Drug_and_Vice_Crimes","13"
"2024-04-18","Public_Order_Crimes","2"
"2024-04-19","Property_Crimes","263"
"2024-04-19","Violent_Crimes","127"
"2024-04-19","Other_Crimes","91"
"2024-04-19","Drug_and_Vice_Crimes","14"
"2024-04-19","Public_Order_Crimes","5"
"2024-04-20","Property_Crimes","227"
"2024-04-20","Violent_Crimes","89"
"2024-04-20","Other_Crimes","65"
"2024-04-20","Drug_and_Vice_Crimes","14"
"2024-04-20","Public_Order_Crimes","7"
"2024-04-21","Property_Crimes","233"
"2024-04-21","Violent_Crimes","85"
"2024-04-21","Other_Crimes","38"
"2024-04-21","Public_Order_Crimes","5"
"2024-04-21","Drug_and_Vice_Crimes","3"
"2024-04-22","Property_Crimes","269"
"2024-04-22","Violent_Crimes","128"
"2024-04-22","Other_Crimes","58"
"2024-04-22","Drug_and_Vice_Crimes","16"
"2024-04-22","Public_Order_Crimes","4"
"2024-04-23","Property_Crimes","215"
"2024-04-23","Violent_Crimes","98"
"2024-04-23","Other_Crimes","65"
"2024-04-23","Drug_and_Vice_Crimes","13"
"2024-04-23","Public_Order_Crimes","5"
"2024-04-24","Property_Crimes","280"
"2024-04-24","Violent_Crimes","115"
"2024-04-24","Other_Crimes","82"
"2024-04-24","Drug_and_Vice_Crimes","19"
"2024-04-24","Public_Order_Crimes","3"
"2024-04-25","Property_Crimes","260"
"2024-04-25","Violent_Crimes","136"
"2024-04-25","Other_Crimes","74"
"2024-04-25","Drug_and_Vice_Crimes","17"
"2024-04-26","Property_Crimes","257"
"2024-04-26","Violent_Crimes","111"
"2024-04-26","Other_Crimes","68"
"2024-04-26","Drug_and_Vice_Crimes","9"
"2024-04-26","Public_Order_Crimes","1"
"2024-04-27","Property_Crimes","210"
"2024-04-27","Violent_Crimes","94"
"2024-04-27","Other_Crimes","48"
"2024-04-27","Public_Order_Crimes","6"
"2024-04-27","Drug_and_Vice_Crimes","5"
"2024-04-28","Property_Crimes","184"
"2024-04-28","Violent_Crimes","116"
