Year,school_id,School_Name,Report_Type,Admission_Type,Number_Students_Served_Full_Year,October_1_Enrollment,PSSA_ELA_Percent_Students_Below_Basic_Grade_3,PSSA_ELA_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_ELA_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Math_Percent_Students_Below_Basic_Grade_3,PSSA_Math_Percent_Students_Below_Basic_Grades_3_to_8,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grade_3,PSSA_Math_Percent_Students_Proficient_or_Advanced_Grades_3_to_8,PSSA_Science_Percent_Students_Below_Basic_Grades_4_to_8,PSSA_Science_Percent_Students_Proficient_or_Advanced_Grades_4_to_8,Percent_Metrics_Improving_All_Students,Percent_Students_Attending_at_Least_90_Percent,Number_Dropouts_Grades_7_to_12,Percent_Students_Receiving_Zero_Out_of_School_Suspensions
2022-2023,7400,Olney School,K-8 School,Catchment,775,715,47.5,26.6,9.8,28.1,47.6,70.1,19.1,8.8,34.0,28.2,42.9,64.5,1,96.8
2022-2023,7460,William H. Ziegler School,K-8 School,Catchment,588,489,28.6,26.8,33.3,27.1,59.1,68.0,25.0,9.3,36.1,19.8,78.6,59.9,2,98.1
2022-2023,7470,Bridesburg School,K-8 School,Catchment,627,597,13.2,12.9,35.9,43.8,31.5,40.0,33.3,25.8,21.1,55.3,42.9,60.0,1,96.2
2022-2023,7510,Mary M. Bethune School,K-8 School,Catchment,514,453,44.4,31.9,11.1,16.2,69.6,77.9,8.7,5.3,45.7,24.7,85.7,44.6,2,90.5
2022-2023,8130,Northeast Community Propel Academy,K-8 School,Catchment,1859,1723,36.3,26.5,25.8,31.4,61.5,64.0,18.5,15.1,40.8,33.2,21.4,61.1,6,90.4
2022-2023,8200,Ethan Allen School,K-8 School,Catchment,1037,912,40.5,39.2,19.1,19.9,64.2,70.7,16.8,10.4,55.9,19.2,57.1,59.6,8,99.7
2022-2023,8210,Joseph H. Brown School,K-8 School,Catchment,484,381,30.2,26.0,20.9,31.7,61.4,61.6,2.3,12.4,37.8,26.8,42.9,63.0,1,98.6
2022-2023,8240,Hamilton Disston School,K-8 School,Catchment,836,713,39.0,40.8,8.5,13.7,61.3,73.9,14.5,6.4,46.6,21.8,42.9,52.9,4,94.6
2022-2023,8270,Thomas Holme School,K-8 School,Catchment,819,721,21.3,16.1,38.7,42.8,44.7,43.2,32.9,27.6,31.1,45.9,42.9,68.6,0,95.7
2022-2023,8300,Mayfair School,K-8 School,Catchment,1837,1678,35.0,28.6,32.9,38.6,45.5,51.8,35.3,27.1,32.5,45.8,28.6,75.1,9,98.6
2022-2023,8350,Gilbert Spruance School,K-8 School,Catchment,1358,1256,35.9,30.3,17.1,25.9,56.8,60.6,21.2,14.1,40.4,34.3,57.1,68.0,6,93.7
2022-2023,8380,Louis H. Farrell School,K-8 School,Catchment,1207,1093,27.7,22.6,36.6,38.3,35.0,46.7,41.8,26.7,27.5,43.8,57.1,69.4,1,97.8
2022-2023,8390,A.L. Fitzpatrick School,K-8 School,Catchment,840,754,15.3,18.3,47.2,44.0,36.0,46.9,45.3,24.0,29.8,50.3,71.4,62.4,0,95.8
2022-2023,8410,Robert B. Pollock School,K-8 School,Catchment,781,683,23.9,19.3,35.2,37.7,52.1,48.0,21.9,25.9,24.5,47.6,64.3,54.2,0,97.7
2022-2023,8420,Stephen Decatur School,K-8 School,Catchment,967,887,17.0,11.9,53.0,54.1,31.4,36.6,45.1,37.0,15.3,62.4,85.7,72.1,1,99.4
2022-2023,8430,Joseph Greenberg School,K-8 School,Catchment,901,831,6.0,3.1,79.5,82.2,4.6,12.5,83.9,62.4,8.3,82.8,35.7,89.5,1,98.8
2022-2023,8770,John Hancock Demonstration School,K-8 School,Catchment,766,687,25.3,15.2,37.3,50.1,38.7,39.4,32.0,31.4,26.1,59.0,28.6,74.8,2,96.1
2022-2023,8780,Philadelphia Virtual Academy,K-8 School,Insufficient Sample,550,488,,25.4,,18.6,,75.9,,5.6,,,14.3,78.0,5,99.8
